id;cadastrado_em;modificado_em;nome;posicao;numeracao;tipo;conta_pai_id;excluido;selecionavel;essencial
12;2016-09-13 23:14:58.404692+00;2017-06-30 18:18:00.209331+00;Oferta Missões Regionais;10205;1.02.05;E;7;false;true;false
13;2016-09-13 23:15:16.614724+00;2016-10-25 16:39:40.674518+00;Oferta Regional de Ação Social (5o Domingo);10206;1.02.06;E;7;false;true;false
15;2016-09-13 23:16:46.581046+00;2016-09-19 18:38:34.973086+00;Oferta Regional de Educação Cristã;10208;1.02.08;E;7;false;true;false
14;2016-09-13 23:16:07.807923+00;2016-09-19 18:38:34.96557+00;Oferta Regional de Finanças;10207;1.02.07;E;7;false;true;false
110133;2018-06-26 23:06:19.859948+00;2018-06-26 23:06:19.859981+00;Oferta de Construção;10216;1.02.16;E;7;false;true;false
8;2016-09-13 23:13:02.646304+00;2016-10-25 16:37:18.030754+00;Oferta de Culto;10201;1.02.01;E;7;false;true;true
110131;2018-06-26 23:04:58.098014+00;2018-06-26 23:41:18.492856+00;Oferta de Culto para Missões;10214;1.02.14;E;7;false;true;false
110132;2018-06-26 23:05:39.671752+00;2018-06-26 23:05:39.671785+00;Oferta de Gratidão;10215;1.02.15;E;7;false;true;false
11;2016-09-13 23:14:29.824698+00;2016-09-19 18:38:34.944325+00;Oferta dos Departamentos e Ministérios;10204;1.02.04;E;7;false;true;false
110135;2018-06-26 23:07:59.131454+00;2018-06-26 23:07:59.131507+00;Oferta para Aquisição de Bens Imóveis;10218;1.02.18;E;7;false;true;false
110134;2018-06-26 23:07:18.878663+00;2018-06-26 23:07:18.878697+00;Oferta para Aquisição de Bens móveis;10217;1.02.17;E;7;false;true;false
110181;2020-06-08 14:43:59.849122+00;2021-08-09 12:10:17.077344+00;Oferta para Aquisição de Cestas Básicas e Cobertores;10219;1.02.19;E;7;false;true;false
9;2016-09-13 23:13:36.799572+00;2016-09-19 18:38:34.928386+00;Ofertas Especiais;10202;1.02.02;E;7;false;true;false
10;2016-09-13 23:14:05.999384+00;2016-09-19 18:38:34.936308+00;Ofertas da EBD;10203;1.02.03;E;7;false;true;false
18;2016-09-13 23:18:19.629575+00;2016-11-09 18:23:31.660987+00;Outras Ofertas Gerais e Regionais;10299;1.02.99;E;7;false;true;false
37;2016-09-13 23:27:55.924216+00;2016-10-25 16:44:21.407253+00;PATRIMONIO;106;1.06;E;1;false;false;false
110130;2018-06-26 22:56:02.145495+00;2018-06-26 22:56:02.145552+00;PATRIMONIO - Consorcio Contemplado;10603;1.06.03;E;37;false;true;false
